"row","year","plotnum","id","area","surv","plotgroup","logArea","pptWin1","pptSpr1","pptSum1","pptFall1","pptAnnual1","pptLag1","snow1","FebMarSnow1","TmeanWin1","TmeanSpr1","TmeanSum1","TmeanFall1","TmeanAnnual1","pptApr1","pptMay1","pptJune1","pptWin2","pptSpr2","pptSum2","pptFall2","pptAnnual2","snow2","FebMarSnow2","TmeanWin2","TmeanSpr2","TmeanSum2","TmeanFall2","TmeanAnnual2","pptApr2","pptMay2","pptJune2","recpptApr","recFebMarSnow"
"1","1932",20,606,50.94467,1,3,3.93074014183142,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"2","1932",21,635,489.15056,1,3,6.19267033574588,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"3","1932",5,156,295.06554,1,1,5.68719750115536,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"4","1932",26,908,30.81631,0,4,3.42804409527436,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"5","1932",6,195,102.40416,1,1,4.62892733678023,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"6","1932",5,152,95.4091,1,1,4.55817396174578,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"7","1932",22,670,246.66323,1,3,5.50802396500062,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"8","1932",4,126,76.55986,1,1,4.33807291851189,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"9","1932",1,2,136.40954,1,1,4.91566168431255,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
"10","1932",5,155,51.96176,1,1,3.95050806343814,39.243,93.98,55.753,85.725,274.701,296.418,75.3491,17.8308,-7.569521691,10.36300279,19.41508545,0.888853794,5.774355086,22.606,19.304,52.07,67.183,83.566,98.044,28.194,276.987,NA,0.0889,-7.39802014,10.62863401,18.0007965,-1.208084429,5.005831485,0.925,2.1,0.265,1.724526316,-36.83751053
